41.0.0.0 255.224.0.0
41.48.0.0 255.248.0.0
41.56.0.0 255.255.0.0
41.57.0.0 255.255.192.0
41.57.112.0 255.255.252.0
41.57.128.0 255.255.192.0
41.61.0.0 255.255.0.0
41.63.64.0 255.255.192.0
41.66.64.0 255.255.192.0
41.66.128.0 255.255.192.0
41.71.0.0 255.255.128.0
41.72.128.0 255.255.224.0
41.73.32.0 255.255.224.0
41.74.144.0 255.255.240.0
41.74.176.0 255.255.240.0
41.74.192.0 255.255.240.0
41.75.96.0 255.255.240.0
41.75.128.0 255.255.240.0
41.76.32.0 255.255.248.0
41.76.56.0 255.255.248.0
41.76.96.0 255.255.248.0
41.76.104.0 255.255.248.0
41.76.112.0 255.255.248.0
41.76.128.0 255.255.248.0
41.76.176.0 255.255.248.0
41.76.200.0 255.255.248.0
41.76.208.0 255.255.248.0
41.76.216.0 255.255.248.0
41.76.224.0 255.255.248.0
41.77.24.0 255.255.248.0
41.77.48.0 255.255.248.0
41.77.56.0 255.255.248.0
41.77.96.0 255.255.248.0
41.77.104.0 255.255.248.0
41.77.152.0 255.255.248.0
41.77.200.0 255.255.248.0
41.78.4.0 255.255.252.0
41.78.28.0 255.255.252.0
41.78.36.0 255.255.252.0
41.78.128.0 255.255.252.0
41.78.140.0 255.255.252.0
41.78.184.0 255.255.252.0
41.78.188.0 255.255.252.0
41.78.200.0 255.255.252.0
41.78.212.0 255.255.252.0
41.78.220.0 255.255.252.0
41.78.228.0 255.255.252.0
41.78.232.0 255.255.252.0
41.78.244.0 255.255.252.0
41.79.16.0 255.255.252.0
41.79.20.0 255.255.252.0
41.79.36.0 255.255.252.0
41.79.72.0 255.255.252.0
41.79.76.0 255.255.252.0
41.79.80.0 255.255.252.0
41.79.92.0 255.255.252.0
41.79.104.0 255.255.252.0
41.79.108.0 255.255.252.0
41.79.148.0 255.255.252.0
41.79.156.0 255.255.252.0
41.79.160.0 255.255.252.0
41.79.172.0 255.255.252.0
41.79.180.0 255.255.252.0
41.79.192.0 255.255.252.0
41.79.212.0 255.255.252.0
41.79.220.0 255.255.252.0
41.79.240.0 255.255.252.0
41.79.248.0 255.255.252.0
41.84.0.0 255.255.128.0
41.85.0.0 255.255.128.0
41.85.128.0 255.255.224.0
41.85.224.0 255.255.224.0
41.86.96.0 255.255.224.0
41.86.192.0 255.255.224.0
41.87.192.0 255.255.224.0
41.87.224.0 255.255.224.0
41.112.0.0 255.240.0.0
41.132.0.0 255.252.0.0
41.138.64.0 255.255.248.0
41.138.92.0 255.255.252.0
41.144.0.0 255.248.0.0
41.154.0.0 255.255.0.0
41.156.0.0 255.254.0.0
41.177.0.0 255.255.0.0
41.180.0.0 255.255.0.0
41.181.0.0 255.255.0.0
41.183.0.0 255.255.0.0
41.185.0.0 255.255.0.0
41.188.192.0 255.255.192.0
41.189.64.0 255.255.224.0
41.191.88.0 255.255.252.0
41.191.128.0 255.255.224.0
41.192.0.0 255.255.0.0
41.193.0.0 255.255.0.0
41.194.0.0 255.255.0.0
41.195.0.0 255.255.0.0
41.198.0.0 255.255.0.0
41.202.32.0 255.255.224.0
41.203.0.0 255.255.224.0
41.203.32.0 255.255.224.0
41.203.160.0 255.255.240.0
41.204.192.0 255.255.224.0
41.206.160.0 255.255.224.0
41.206.192.0 255.255.224.0
41.207.236.0 255.255.252.0
41.208.0.0 255.255.192.0
41.208.192.0 255.255.192.0
41.213.0.0 255.255.128.0
41.215.232.0 255.255.248.0
41.216.128.0 255.255.240.0
41.216.176.0 255.255.240.0
41.216.192.0 255.255.240.0
41.217.192.0 255.255.252.0
41.217.240.0 255.255.248.0
41.221.0.0 255.255.240.0
41.221.208.0 255.255.240.0
41.221.224.0 255.255.240.0
41.222.32.0 255.255.248.0
41.222.48.0 255.255.248.0
41.222.104.0 255.255.248.0
41.222.120.0 255.255.248.0
41.222.136.0 255.255.248.0
41.222.152.0 255.255.248.0
41.222.212.0 255.255.252.0
41.222.224.0 255.255.252.0
41.222.228.0 255.255.252.0
41.223.8.0 255.255.252.0
41.223.24.0 255.255.252.0
41.223.32.0 255.255.252.0
41.223.36.0 255.255.252.0
41.223.60.0 255.255.252.0
41.223.120.0 255.255.252.0
41.223.172.0 255.255.252.0
41.223.244.0 255.255.252.0
41.223.252.0 255.255.252.0
41.242.40.0 255.255.248.0
41.242.80.0 255.255.252.0
41.242.160.0 255.255.240.0
41.242.192.0 255.255.192.0
41.246.0.0 255.254.0.0
45.220.0.0 255.255.224.0
45.220.32.0 255.255.240.0
45.220.56.0 255.255.248.0
45.220.128.0 255.255.128.0
45.221.12.0 255.255.252.0
45.221.32.0 255.255.240.0
45.221.48.0 255.255.240.0
45.221.80.0 255.255.240.0
45.221.96.0 255.255.224.0
45.221.128.0 255.255.192.0
45.221.200.0 255.255.248.0
45.221.208.0 255.255.252.0
45.221.212.0 255.255.252.0
45.221.216.0 255.255.248.0
45.222.0.0 255.255.224.0
45.222.32.0 255.255.240.0
45.222.64.0 255.255.224.0
45.222.112.0 255.255.240.0
66.8.0.0 255.255.128.0
66.18.64.0 255.255.224.0
66.251.128.0 255.255.192.0
69.67.32.0 255.255.240.0
80.95.0.0 255.255.252.0
80.95.4.0 255.255.252.0
80.95.8.0 255.255.248.0
81.26.72.0 255.255.248.0
102.22.32.0 255.255.224.0
102.22.64.0 255.255.240.0
102.22.80.0 255.255.252.0
102.22.88.0 255.255.248.0
102.22.112.0 255.255.248.0
102.22.120.0 255.255.252.0
102.22.124.0 255.255.252.0
102.22.192.0 255.255.240.0
102.22.236.0 255.255.252.0
102.22.240.0 255.255.248.0
102.22.248.0 255.255.248.0
102.23.88.0 255.255.252.0
102.23.92.0 255.255.252.0
102.23.124.0 255.255.252.0
102.23.144.0 255.255.240.0
102.23.160.0 255.255.252.0
102.23.168.0 255.255.248.0
102.23.176.0 255.255.248.0
102.23.184.0 255.255.248.0
102.23.192.0 255.255.240.0
